Title,Language,IMDb Rating,Running Time,Year of Release,Maturity Rating,Plot,hdr,uhd,subtitles,len_subtitles,len_audio,starring,directors,Title Type,Genre1,Genre2,Genre3,Original or Licensed,Trailer Available,# of Dubbing Languages,# of Subtitle Languages
Mumbai Pune Mumbai 3,Marathi,6.3,139,2018,13+,They fell in love in the first part got married in the second and now its time to extend this most loved family. Gautam and Gauri are expectant parents and the film unfolds this journey of today's couple who will walk this path towards parenthood.,,,,,,,,Movie,Comedy, Drama, International,Licensed,Yes,1,8
Boys On the Side,English,None,116,1995,13+,"After accidentally committing a crime, three women embark on a cross-country journey that helps them develop something they've never known before.",,,,,,,,Movie,Drama, Comedy,,Licensed,Yes,7,21
Whiskey Tango Foxtrot,English,6.6,111,2016,NR,"Stuck in a rut, reporter Kim Baker (Tina Fey) decides to shake things up by taking a dangerous assignment in Afghanistan. Far from home and completely out of her comfort zone, Kim discovers her true strength as she risks it all to find the next big story.",,,,,,,,Movie,Comedy, Drama,,Licensed,Yes,8,24
Dil Bole Hadippa,Hindi,4.5,146,2009,13+,"Veera (Rani Mukerji) is a fire-cracker of a village girl but dreams of playing cricket in the big league. Rohan (Shahid Kapoor) is a captain of a cricket team in England but returns to India to captain his father's cricket team which has been losing. Veera puts on a turban and beard and earns her place in Rohan's team. This tale of turbans, twists and tricks will make your heart go Hadippa!",,,,,,,,Movie,International, Sports, Comedy,Licensed,Yes,1,3
Memoirs of an Invisible Man,English,6,99,1992,16+,When a government experiment goes awry it renders an innocent bystander invisible.,,,,,,,,Movie,Comedy,,,Licensed,Yes,7,21
Revolutionary Road,English,7.3,118,2008,18+,This mesmerizing and moving story follows the lives of a young couple living in suburban Connecticut who decide to risk everything to pursue their dreams.,,,,,,,,Movie,Romance, Drama,,Licensed,Yes,11,28
Hate Story 4,Hindi,3.3,127,2018,18+,"The girl who will stop at nothing to become a star model in the most coveted advertising agency in London, Tasha is ambitious, beautiful and without a doubt voluptuous. Rajveer, the man known to stop at nothing to get the woman he wants spots her talent and pitches her to get the project. Aryan, on the other hand, the man who is smitten by Tasha at first sight, will go beyond bonds and boundaries.",,,,,,,,Movie,International, Suspense, Drama,Licensed,Yes,1,13
Bogus,English,5.4,111,1996,16+,"When a young boy's mother dies, he invents an imaginary friend to accompany him to his new home far away.",,,,,,,,Movie,Comedy, Drama,,Licensed,Yes,6,20
K.G.F: Chapter 1 (Tamil),Tamil,8.2,154,2018,13+,KGF Chapter 1 is a film based on the gold mines that represents absolute power. The film is based on power struggle to rule these fields which eventually becomes one man’s destiny and his final destination.,,,,,,,,Movie,International, Action,,Licensed,Yes,1,12
Golmaal,Marathi,7.4,137,2006,All,"Roommates Raj and Soham are in love with Purva (Amruta Khanvilkar), a modern girl with few friends in the city. Purva works at a coffee shop post her college. Dheeru an imposter and Madhav a regular customer in the coffee shop are also in love with Purva. Everyone wants to impress Purva by playing dirty tricks on each other. Who will get the girl? This competition to get love entertains all.",,,,,,,,Movie,International, Comedy,,Licensed,Yes,1,1
Me Pan Sachin,Marathi,6.6,135,2019,13+,"It's the journey of this boy on his quest through all the hardships, hurdles and circumstances. All in all, the film is a gritty tale of how you can strive to make all your dreams come true.",,,,,,,,Movie,Drama, International,,Licensed,Yes,1,1
Switch,English,5.8,103,1991,18+,A murdered macho sexist is sent back to Earth in the form of a gorgeous blonde woman for a last ditch attempt to earn entrance into Heaven.,,,,,,,,Movie,Comedy,,,Licensed,Yes,1,1
2.0 (Tamil),Tamil,6.3,140,2018,13+,Dr Vaseegaran (Rajinikanth) and his android assistant Nila (Amy Jackson) are called in for help after mobiles start mysteriously flying out of the hands of people in Chennai. Vaseegaran summons his trusted robot Chitti (Rajinikanth) to ward off the bird-shaped supernatural powers of Pakshirajan (Akshay Kumar).,,,,,,,,Movie,Action, International, Science Fiction,Licensed,Yes,1,12
Golkeri,Gujarati,6.9,127,2020,13+,"Sahil and Harshita, overnight end their perfect relationship of two years. But, as much as they want to move on and move away from each other, they are stuck in awkward situations put up by their parents who make persistent attempts to bring them back together.",,,,,,,,Movie,Comedy, Drama,,Licensed,Yes,1,2
Unpaused,Hindi,7.1,113,2020,16+,"Unpaused is an anthology that brings together 5 unique creators of Hindi cinema – Raj & DK, Nikkhil Advani, Tannishtha Chatterjee, Avinash Arun, and Nitya Mehra featuring stories of love, new beginnings, second chances, and a glimmer of hope – set and filmed in the times of the COVID-19 lockdown",,,,,,,,Movie,Drama,,,Licensed,Yes,2,2
Jallikattu,Malayalam,7.5,92,2019,13+,"Set in a remote village in the hill ranges of Kerala, Jallikattu unfolds during the course of a day and night. The events are set off when a butcher’s buffalo breaks free and runs amok.",,,,,,,,Movie,International, Action,,Licensed,Yes,1,10
Star Trek Beyond,Hindi,7.1,122,2016,16+,"On a rescue mission, the USS Enterprise is attacked by Krall, a warlord sworn against the Federation. Crashed on an uncharted world, the crew must join forces with Jaylah, a rebellious alien warrior, to escape and stop Krall from triggering all-out war.",,,,,,,,Movie,Action, Science Fiction,,Licensed,Yes,8,21
Zindagi Na Milegi Dobara,Hindi,8.1,154,2011,13+,"The story about three old friends, Kabir (Abhay Deol), Arjun (Hrithik Roshan) and Imraan (Farhan Akhtar), reuniting after many years for a bachelor party trip before Kabir gets married. The trip changes their perception about life with many unforgettable experiences which include Laila (Katrina Kaif) and a lot of self-realisation. Watch the thrilling experience which teaches a lot about life.",,,,,,,,Movie,International, Drama,,Licensed,Yes,1,11
Ponmagal Vandhal,Tamil,6.8,123,2020,18+,"Ponmagal Vandhal is a murder mystery courtroom drama set in Ooty, in 2020. Venba (Jyotika), a determined lawyer, reopens the case of a serial killer Jothi after 15 Years. This is Venba’s journey against child abuse and her quest for justice.",,,,,,,,Movie,International, Drama,,Licensed,Yes,1,1
Street Kings,English,6.8,108,2008,18+,"When evidence implicates a veteran LAPD cop in the execution of a fellow officer, he is forced to go up against the cop culture he's been a part of his entire career.",,,,,,,,Movie,Suspense, Drama,,Licensed,Yes,2,1
Vicky Velingkar,Marathi,4.6,125,2019,13+,"Vicky Velingkar is a struggling comic book artist and a watch seller, who gets entangled in an unexpected murder mystery. As she investigates, she realises that nothing is what it seems and the man who killed her best friend is now on to her. In a race against time, Vicky must find the killer before he hunts her down.",,,,,,,,Movie,Suspense, International, Action,Licensed,Yes,1,5
Nau Mahine Nau Divas,Marathi,5.8,130,2009,13+,"The Deshmukh family have a history of adoption, as the women in the family have failed to conceive for seven generations. This time, Mrs. Deshmukh (Nirmiti Sawant) is determined not to let her adopted son adopt a child.",,,,,,,,Movie,Comedy, International,,Licensed,Yes,1,1
Empire Records,English,6.7,90,1995,16+,"A comedy about an eventful day in the lives of the young slackers, doers and dreamers who work at a bustling record store.",,,,,,,,Movie,Drama, Comedy,,Licensed,Yes,7,20
Sankashta Kara Ganapathi,Kannada,6.8,116,2018,13+,"Ganapathi, a cartoonist, is diagnosed with a neurological disorder called Alien Hand Syndrome, which poses a hindrance in his daily life. Despite the disorder, Ganapathi attempts to achieve his goal and also goes on to woo the girl he loves.",,,,,,,,Movie,Comedy, Romance, Drama,Licensed,Yes,1,6
War (Telugu),Telugu,6.5,151,2019,13+,"An elite shadow unit of RAW led by agent Kabir (Hrithik Roshan) focusses on maximum risk missions. Khalid (Tiger Shroff), a soldier with a murky past, struggles to get into Kabir’s team and finally manages to convince him of his dedication & loyalty. Now, when Kabir mysteriously goes rogue, Khalid is assigned the task of hunting down his mentor. Can he track him? A deadly war begins.",,,,,,,,Movie,Suspense, Drama, Action,Licensed,Yes,1,8
Big Momma's House 2,English,4.7,98,2006,13+,"Comedy superstar Martin Lawrence goes undercover as ""Big Momma"" once again, but this time he must pose as a nanny and take care of kids to bring down a high-tech criminal.",,,,,,,,Movie,Comedy,,,Licensed,Yes,9,23
Mohalla Assi,Hindi,6.8,117,2018,18+,"Mohalla Assi is a satire on the commercialisation of the pilgrimage city, and fake gurus that the lure foreign tourists.",,,,,,,,Movie,Drama, Comedy,,Licensed,Yes,1,9
Gleason,English,8.3,111,2016,16+,"At the age of 34, Steve Gleason, former NFL defensive back and New Orleans hero, was diagnosed with ALS. Doctors gave him two to five years to live. So that is what Steve chose to do: live. This film incorporates personal video journals from Gleason for his then-unborn son to footage of his adventures undertaken as part of his mission to live his life to the fullest.",,,,,,,,Documentary,Documentary, Sports,,Original,No,1,23
Detective Byomkesh Bakshy,Hindi,7.6,138,2015,13+,"Detective Byomkesh Bakshy - the film is set in the Second World War torn Calcutta during the 1940s and follows the first adventure of Byomkesh Bakshy (Sushant Singh Rajput), a recent college graduate, as he pits himself against an evil genius who is out to destroy the world. Watch the mystery unfold and ‘Expect the Unexpected’.",,,,,,,,Movie,International, Suspense,,Licensed,Yes,1,10
Freddy Got Fingered,English,4.6,87,2001,18+,A man is forced to move back in with his parent's and then refuses to leave.,,,,,,,,Movie,Comedy,,,Licensed,Yes,1,5
Lamhe,Hindi,7.4,187,1991,All,"Viren (Anil Kapoor) comes to India, he is captivated by Pallavi (Sridevi). When he learns she's spoken for, he returns. When he gets the news of Pallavi and her husband dying and leaving their daughter Pooja (Sridevi) behind, Viren ensures she is taken care of. 20 years on, Viren comes back to India and sees Pooja - a spitting image of her mother! What follows is a life-changing turn of events.",,,,,,,,Movie,Drama, Romance, International,Licensed,Yes,1,7
Amazon Obhijaan,Bengali,4.6,137,2017,13+,"Laden with natural difficulties, wild animals-anacondas, black caimans, jaguar, savage tribes and vicious gold digger, Shankar travels thousands of miles and fight off every danger to reach the mythical city of El Dorado. Amazon Obhijaan is shot extensively across Brazil, including underwater at two rivers, Rio Negro and Rio Solimoes.",,,,,,,,Movie,Suspense, Adventure, International,Licensed,Yes,1,5
Super Bheem in Dragonpur,Hindi,None,70,2017,7+,Bheem and team have to save the dragons from the Dhors who have attacked Dragonpur and wish to take over the land.,,,,,,,,Movie,Kids,International,,Licensed,No,1,1
Made in America,English,5.1,110,1993,16+,"A young black woman discovers that her father was a sperm donor, and if that weren't bad enough, he's white.",,,,,,,,Movie,Comedy,,,Licensed,Yes,8,18
Sye Raa Narasimha Reddy (Hindi),Hindi,7.4,169,2019,13+,"This film is about the first revolt of any kind (1847) against the British Raj in India anchored by Uyyalawada Narasimha Reddy aka Lion of Renadu (A region in Rayalaseema- Andhra Pradesh), nickname with which he was fondly called by his followers.",,,,,,,,Movie,Action,,,Licensed,Yes,1,9
Carry On Jatta 2,Punjabi,6.9,147,2018,13+,"Jass, an orphan but a happy go lucky guy whose sole purpose in life is to go to Canada by any means possible succeeds in wooing Meet, an NRI. The confusion begins to rise as Jass learns more about the particular qualities Meet wants in her future husband.",,,,,,,,Movie,Drama,,,Licensed,Yes,1,6
Din Dehade Lai Jaange,Punjabi,None,130,2018,13+,Din Dehade Lai Jaange tells the story of Raj and Simran who are individually on the run to escape from their parents trying to fixing their alliance. Coincidentally while on the run they run into each other and fall in love but only to discover that the relation between their parents has turned bitter and formed a rivalry.,,,,,,,,Movie,Comedy, Drama,,Licensed,Yes,1,1
Aaja Nachle,Hindi,6.2,143,2007,All,"An unexpected phone call shakes Dia (Madhuri Dixit) on hearing her guru, is dying and she must return to India. It is a troubled return; not only has her guru passed away, but the institution that he so lovingly nurtured is in under threat of demolition. Ajanta theatre, the once vibrant hub. Dia promises to turn this ruin into a bustling theatre that was once the soul of her little town.",,,,,,,,Movie,Drama, Romance, Arts,Licensed,Yes,1,1
Ungli,Hindi,5.7,113,2014,13+,"Fed up with the corruption that was prevalent in the government entities, four ordinary friends band together to form the Ungli gang, aiming to cleanse Mumbai of crime. Consisting of Kalim(Angad Bedi), Gautam(Neil Bhoopalam), Maya(Kangana Ranaut) and Abhay(Randeep Hooda), they target people in the criminal regime and enforce their brand of justice on them, always staying a step ahead of police.",,,,,,,,Movie,International, Drama,,Licensed,Yes,1,2
Lucifer (Telugu),Telugu,7.5,172,2019,13+,"A political Godfather, who ruled the God's Own Country, dies and a lot of thieves dressed up as politicians took over the rule. When question arises on the replacement of the 'God', just one name emerges; 'Stephen Nedumbally'.",,,,,,,,Movie,Drama, Action,,Licensed,Yes,1,8
Junooniyat,Hindi,4.2,122,2016,All,"Captain Jahan Bakshi rescues a Punjabi girl, Suhani. This starts a friendship that evolves into a passionate love affair.",,,,,,,,Movie,International, Romance,,Licensed,No,1,4
Kunku Zala Vairi,Marathi,None,149,2005,All,"Kunku Zala Vairi' is a story of a poor girl Kamal (Pallavi Shirke), who is married off to a good-for-nothing. Her life takes a turn when she unwittingly steps into politics.",,,,,,,,Movie,International, Drama,,Licensed,Yes,1,1
Dangerous Beauty,English,7.2,111,1999,18+,"In the late 1500s, as mistresses to Venice's important men, women lived a regal lifestyle, and were encouraged to read and study at a time when such education was forbidden for most woman.",,,,,,,,Movie,Drama,,,Licensed,Yes,7,25
The Big Sick,English,7.5,2,2017,18+,"The Big Sick is based on the real-life courtship between Pakistan-born comedian Kumail Nanjiani (Nanjiani) and grad student Emily Gordon (Zoe Kazan) who fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family’s expectations, and his true feelings.",,,,,,,,Movie,Comedy, Romance, Drama,Original,No,4,11
Turtle Beach,English,4.7,87,1992,18+,"Reporter Judith Wilkes leaves her husband and two sons in Sydney and goes to Malaysia to cover the story of the Vietnamese boat people. She becomes romantically involved with kanan, and strikes up a friendship with lady minou hobday, who keeps a regular vigil at ""Turtle beach"" where the refugees try to land secretly in the hope that one day her own children will arrive. Accompanying minou one n...",,,,,,,,Movie,Drama,,,Licensed,Yes,3,20
Dum Laga Ke Haisha,Hindi,7.5,110,2015,13+,"Prem is a shy music buff who runs a tape recording shop. Sandhya is about to carve a niche for herself as a teacher. Will a regular arranged marriage turn out to be a perfect mismatch? From overcoming his fear of the English language to dealing with an overbearing father, he discovers that his oversized wife, who he thought was a spanner in his spool, will actually lead him to something quite cool",,,,,,,,Movie,International, Drama,,Licensed,Yes,1,14
Luv Ni Love Storys,Gujarati,7,140,2020,All,"The plot follows Luv through various stages of his life and many of his relationships. In pursuit of the one true love of his life, he ends up leading himself to a trippy roller-coaster ride of multiple relationships. Will his experiences make him lose his faith in love or make him look for it even more desperately?",,,,,,,,Movie,Comedy, Romance, Drama,Licensed,Yes,1,1
Gantumoote,Kannada,8.1,115,2019,18+,"A relatable, realistic tale of a sixteen-year-old girl and her subtle journey from the life that she thinks exists just like in the movies to the actual life that unravels to her. A story of struggles in understanding herself, the changing world, educational pressures, bullying, competition over marks – all of it wrapped up in transcending journey of first love.",,,,,,,,Movie,Drama, International,,Licensed,Yes,1,7
Sommersby,English,6.2,113,1993,18+,"Richard Gere stars as Jack Sommersby, a man who returns home from the war to reclaim his life, seven years after he was presumed dead.",,,,,,,,Movie,Drama,,,Licensed,Yes,3,3
Thuparivaalan,Tamil,7.5,154,2017,13+,"Detective Kaniyan Poonkundran who craves for an interesting case to solve, faces a major challenge while solving the mystery of a murdered dog which leads him to capture a powerful rival who proves to be a fitting opponent for him.",,,,,,,,Movie,International, Action,,Licensed,Yes,1,11
Alvin and the Chipmunks: Chipwrecked,English,4.3,87,2011,All,"The vacationing Chipmunks and Chipettes are turning a luxury cruise liner into their personal playground, until they become 'Chipwrecked' on a remote island. As the 'Munks and Chipettes scheme to find their way home, they accidentally discover their new turf is not as deserted as it seems.",,,,,,,,Movie,Kids,,,Licensed,Yes,9,24
Kadaram Kondan,Tamil,5.7,114,2019,13+,A trainee doctor has just moved to Malaysia with his pregnant wife. An unidentified man gets admitted in his hospital after an accident who is later identified to be one of the most wanted by the Malaysian police on a murder case. Doctor’s wife is kidnapped with a demand to get the stranger out of the hospital. How the doctor-stranger duo rescue the doctor’s wife is the rest of the movie.,,,,,,,,Movie,International, Action,,Licensed,Yes,1,11
Chhalaang,Hindi,6.5,136,2020,13+,"Chhalaang is a hilarious, yet inspirational journey of Montu, a PT Master from a semi govt. funded school for whom teaching PT is just a job. When circumstances put everything he cares for at stake, including Neelu who he loves, Montu is forced to do what he's never done- TEACH. Through his journey, the film humorously addresses the value of Sports Education in school curriculum.",,,,,,,,Movie,Comedy, Drama,,Licensed,Yes,1,1
Shubh Mangal Zyada Saavdhan,Hindi,5.8,117,2020,13+,"The Tripathi family is busy gearing up for an unusual wedding, when something more unusual hits them smack on their smiling, ‘Indian Shaadi’ ready faces. The newest couple of their family, cannot be a ‘couple’ in the first place! While the two love birds share ‘achaar’ and ‘elaichis’, the Tripathi family is busy plotting the end of their relationship.",,,,,,,,Movie,Comedy, LGBTQ, International,Licensed,Yes,1,8
Entrapment,English,6.3,112,1999,18+,"Two thieves, who travel in elegant circles, try to outsmart each other and, in the process, end up falling in love.",,,,,,,,Movie,Romance, Suspense,,Licensed,No,2,2
Don 2,Hindi,7.1,147,2011,13+,"Don 2 is a sequel to a 2006's Indian action thriller 'Don'. Living in Thailand for past five years and having conquered the Asian underworld, international gangster Don (Shah Rukh Khan) now has bigger plans. Don has never been known to take the easy way out, but when he surrenders voluntarily to the Interpol in Malaysia, eyebrows are raised.",,,,,,,,Movie,Action, International,,Licensed,Yes,1,11
Mister,Telugu,3.8,156,2017,13+,"Mister is a story about the power of first love and family bonding. In a small village in the Telugu States, an elderly man Pichaya naidu, is the revered village head and commands immense respect from the villagers.",,,,,,,,Movie,International, Romance,,Licensed,Yes,1,14
Goyenda Junior,Bengali,6.1,118,2019,13+,A Bengali crime thriller about a teenaged detective investigating the perfect crime disguised as a natural death!,,,,,,,,Movie,International, Suspense,,Licensed,Yes,1,6
Fugay,Marathi,6.1,2,2017,13+,The story revolves around two best friends Swwapnil Joshi and Subodh Bhave. Swwapnil gets engaged to Prarthana Behere who is extremely possessive about Swwapnil and also doesn't approve of the bond between Swwapnil and Subodh. Assuming they wont get to enjoy the same fun both decide to go for one last bachelor party to Goa.,,,,,,,,Movie,Drama,,,Licensed,Yes,1,1
Raatchasi,Tamil,7.3,132,2019,All,"Geetha Rani, the new headmistress of a Government School, has to confront misbehaving students, lethargic faculty and non-existent routines. As she faces these difficulties, will she be able to reform the education system and the society?",,,,,,,,Movie,Drama, International,,Licensed,Yes,1,10
Under Siege,English,6.5,102,1992,18+,A Navy Seal turned chef almost single handedly retakes the USS Missouri from hijackers who capture the ship to steal her nuclear weapons. The villains don't count on a pissed off cook with commando training.,,,,,,,,Movie,Drama,,,Licensed,Yes,7,24
Dhadak,Hindi,4.5,137,2018,13+,"Set in Rajasthan, this love story explores how the protagonists deal with issues like differences between castes and honor killings.",,,,,,,,Movie,Drama, International,,Licensed,Yes,1,6
Runner Runner,English,5.6,91,2013,18+,A college student (Justin Timberlake) takes the ultimate gamble when he goes to Costa Rica to confront the online gaming tycoon (Ben Affleck) who cheated him out of his winnings.,,,,,,,,Movie,Suspense, Action,,Licensed,Yes,8,11
Asuran,Tamil,8.5,139,2019,13+,"The son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story.",,,,,,,,Movie,International, Drama, Action,Licensed,Yes,1,11
Airaa (Telugu),Telugu,4.7,140,2019,13+,"Yamuna is on holiday at her grandma's village bungalow when she strikes upon the genius idea of shooting and uploading real-ghost videos. While shooting, Yamuna chances upon real ghost experiences, incident that test her belief system and rational thinking.",,,,,,,,Movie,Drama, International, Horror,Licensed,Yes,1,7
Mayabazar 2016,Kannada,7.1,130,2020,13+,"An honest cop, a conman and a hopeless romantic form an unusual team during the days of demonetisation to pull off a scam. A scam that is bigger than demonetisation, but things go haywire.",,,,,,,,Movie,Comedy,,,Licensed,Yes,1,2
Triple Seat,Marathi,6,126,2019,All,"A young, happy couple`s life gets turned upside down when the guy receives a call from an unknown woman who claims to be in danger. A new take on the classic love triangle, Triple Seat brings to you a light-hearted story about wireless love.",,,,,,,,Movie,International, Comedy,,Licensed,Yes,1,8
Superstar,Marathi,4.9,141,2011,All,"Superstar is based on two funny stand-up artistes (Ranga and Baja) working in a local tamasha. A film unit shooting in their village, finds itself in trouble when the lead actor does not show up. Ranga gets casted in his film when the producer & actress are impressed with his acting. Soon, cracks start developing in their friendship when Ranga becomes a star overnight and Baja feels neglected.",,,,,,,,Movie,Drama, International,,Licensed,Yes,1,1
Beverly Hills Cop II,English,6.5,102,1987,18+,"The heat’s back on! And Eddie Murphy is cool as ever in this sizzling, smash-hit sequel to Beverly Hills Cop.",,,,,,,,Movie,Adventure, Action,,Licensed,No,1,1
Daawat e Ishq,Hindi,6.1,118,2014,7+,"A deliciously romantic coming together of Gullu (Parineeti Chopra), a Hyderabadi shoe-sales girl disillusioned with love because of her encounters with dowry-seeking men; and Taru (Aditya Roy Kapur), a Lucknawi cook who can charm anybody with the aroma and flavours of his biryani and kebabs.",,,,,,,,Movie,International, Comedy, Romance,Licensed,Yes,1,9
Date Movie,English,2.8,82,2006,18+,"Spoof of romantic comedies which focuses on a man (Campbell), his crush (Hannigan), his parents (Coolidge, Willard), and her father (Griffin).",,,,,,,,Movie,Comedy,,,Licensed,Yes,6,23
Epic Movie,English,2.4,84,2007,All,"A comedic satire of films that are large in scope, reputation and popularity.",,,,,,,,Movie,Comedy,,,Licensed,Yes,7,26
The Truman Show,English,8.1,102,1998,7+,"Truman doesn’t realize that his quaint hometown is a giant studio set run by a visionary producer/director/creator (Ed Harris), that folks living and working there are Hollywood actors, that even his incessantly bubbly wife is a contract player.",,,,,,,,Movie,Drama, Comedy,,Licensed,Yes,12,28
The Map of Tiny Perfect Things,English,6.8,99,2021,13+,"Quick-witted teen Mark (Kyle Allen) is contentedly living the same day in an endless loop when his world is turned upside-down by the mysterious Margaret (Kathryn Newton), also stuck in the same loop. What follows is a love story with a fantastical twist, as the two struggle to figure out how – and whether – to escape their never-ending day.",,,,,,,,Movie,Comedy, Romance,,Licensed,No,9,33
What Happens in Vegas,English,6.1,98,2008,13+,Two strangers who drunkenly got married in Vegas fight over a huge jackpot after having their annulment denied by a judge.,,,,,,,,Movie,Romance, Comedy,,Licensed,Yes,3,6
Beverly Hills Cop,English,7.3,105,1984,18+,"The heat is on in this fast paced action-comedy starring Eddie Murphy as Axel Foley, a street smart Detroit cop tracking down his best friend’s killer in Beverly Hills.",,,,,,,,Movie,Comedy, Action,,Licensed,No,1,1
Grant St. Shaving Co.,Hindi,6.4,15,2011,13+,"An elderly Indian widower journeys through New York to replace an antique razor given to him by his late wife on their first anniversary trip to the city. Along the way, he relives his memories of their trip and stumbles upon a revelation that softens his strained relationship with his daughter.",,,,,,,,Movie,International, Romance,,Licensed,No,1,1
Aayna Ka Bayna,Marathi,5.9,94,2012,All,"We dance for laughter, We dance for tears, We dance for madness, We dance for fears, We dance for hopes, We dance for screams, We are the dancers, We create the dreams.",,,,,,,,Movie,Romance,,,Licensed,Yes,1,1
Majili,Hindi,7.2,149,2019,13+,"Poorna (Naga Chaitanya) is a youth from Vizag who falls in love with Anju (Divyansha Kaushik), a rich naval officer's daughter. As time passes by, Poorna's local politics create a rift in their love story & they break apart. Moving ahead, Poorna marries Shravani (Samantha) but does not forget his love for Anu. Will the problems between the couple get resolved? How does the change happen?",,,,,,,,Movie,International, Drama, Romance,Licensed,Yes,1,12
William Shakespeare's A Midsummer Night's Dream,English,6.4,2,1999,18+,"A magical retelling of Shakespeare's classic, set in Tuscany at the turn of the century.",,,,,,,,Movie,Romance, Comedy,,Licensed,Yes,7,22
"Don't Worry, He Won't Get Far on Foot",English,6.9,113,2018,18+,"On the rocky path to sobriety after a life-changing accident, John Callahan discovers the healing power of art, willing his injured hands into drawing edgy, hilarious, often controversial cartoons, which bring him a national following and a new lease on life.",,,,,,,,Movie,Comedy, Arthouse, Drama,Original,Yes,9,27
Jack & Daniel,Malayalam,4.4,154,2019,13+,"Jack, a thief of hoodwinks the system and steals black money is chased by Daniel, a cop intent on catching him.",,,,,,,,Movie,International, Drama,,Licensed,Yes,1,8
Mathu Vadalara,Telugu,8.2,128,2019,16+,"Babu is a delivery boy living with his friends Yesu and Abhi. Due to his meagre salary, he decides to quit, but then Yesu gives him an idea. The idea, however, soon spirals out of control and Babu finds himself deep in trouble. Will he survive the consequences of his own actions?",,,,,,,,Movie,Comedy, International,,Licensed,Yes,1,5
Sita,Bengali,4.9,135,2017,13+,"A Bengali mythological film based on the epic, Ramayana, focusing on the tragic life of Lord Rama’s wife, Sita Devi.",,,,,,,,Movie,International, Drama,,Licensed,Yes,1,12
Ittymaani: Made in China,Malayalam,4.6,156,2019,All,"Manikkunnel Ittymaani, son of a prominent Chinese martial arts trainer, is a reckless person who keeps landing into trouble.",,,,,,,,Movie,Comedy, International,,Licensed,Yes,1,12
Geetha,Kannada,6.1,148,2019,13+,"Set against the backdrop of the Gokak Chaluvali (the language rights agitation in the 1980s in Karnataka), this movie tells the story of Akash and Geetha whose paths keep crossing as they bump into each other at different stages of their lives.",,,,,,,,Movie,International, Drama, Romance,Licensed,Yes,1,9
99,Kannada,6.2,141,2019,13+,"An emotional story of a two old school sweethearts, ram and janu meets after 20 years sharing their heartwarming unconditional hidden love.",,,,,,,,Movie,Drama, International, Romance,Licensed,Yes,1,10
Peranbu (Malayalam),Malayalam,8.9,144,2019,13+,A story about a father who tries to understand the struggles of his disabled daughter Paapa. The plot highlights the journey of how he becomes a better man while he comes to terms with his child and her special needs.,,,,,,,,Movie,Drama, International,,Licensed,Yes,1,1
That Night,English,6.7,89,1993,13+,"Set in 1961, this bittersweet coming-of-age story about special friendships, first love and a long summer night changes the lives of three people forever.",,,,,,,,Movie,Drama,,,Licensed,Yes,5,19
Kaala (Tamil),Tamil,6.7,160,2018,13+,"Kaala (aka) Karikaalan is a representative of the people living in Dharavi, a big slum in Mumbai. When a political leader tries to grab the land they are living in, Kaala rises to the occasion and takes his people on a journey to resist the politcian’s plans, like a true leader.",,,,,,,,Movie,Adventure, International, Kids,Licensed,Yes,1,9
102 Not Out,Hindi,7.4,103,2018,All,"102 Not Out- is an ageless comedy that brings together Indian Cinema’s two biggest  stalwarts-Amitabh Bachchan and Rishi Kapoor after 27 years, with the two legends playing father-son duo for the first time.",,,,,,,,Movie,International, Comedy,,Licensed,Yes,1,17
Indiana Jones and the Kingdom of the Crystal Skull,English,6.1,122,2008,All,"STEVEN SPIELBERG and GEORGE LUCAS bring you the greatest adventurer of all time! Indiana Jones and the Kingdom of the Crystal Skull finds Indy trying to outrace a brilliant and beautiful agent for the mystical, all-powerful crystal skull of Akator.",,,,,,,,Movie,Action,,,Licensed,Yes,15,27
Deva Shapath Khota Saangen Khara Sangnar Nahi,Marathi,6.2,131,2006,All,Tatya (Ashok Saraf) is the owner of a drama c/o where Chandu (Avishkar) works as a stage actor. Chandu likes Tara. He lies to her that he is an MBA working with a MNC. Hilarious situations arise when Tara's parents set up a meeting with Chandu. Tatya instructs Chandu to represent himself as a Sales Manager and a son from a wealthy family living in South Africa; who are on a short visit to India.,,,,,,,,Movie,International, Comedy,,Licensed,Yes,1,1
Grease,English,7.2,110,1978,18+,"Grease is the one that you want! Go back to high school with Pink Lady Sandy (Olivia Newton-John), leader of the bad-boy T-Birds, Danny (John Travolta), and a rockin' and rollin' all-star cast.",,,,,,,,Movie,Comedy, Drama,,Licensed,No,3,2
The Only Living Boy in New York,English,6.3,88,2018,18+,"Adrift in New York City, a recent college graduate seeks the guidance of an eccentric neighbor as his life is upended by his father’s mistress in the sharp and witty coming-of-age story The Only Living Boy in New York.",,,,,,,,Movie,Drama,,,Licensed,Yes,2,31
Venky Mama,Telugu,5.4,141,2019,13+,"Venkataratnam, son of famous astrologer Ram Narayan, lands in a military cantonment region one week after a major terrorist attack. When interrogated by the military police, he tells them he came in search of his nephew, Karthik, and tells them his story.",,,,,,,,Movie,Drama, Action, Comedy,Licensed,Yes,1,8
